Aggregation analysis,PioViewer 3.3.16, EV in chips
File, C:\Users\bkush\DPS\Pious\src\pious\pio\resources\database\As9s6h.cfr
Action Line,Root CHECK CHECK 6c BET 300
Flop,Turn,Global %,OOP Equity,OOP EV,OOP EQR,IP Equity,IP EV,IP EQR,CALL freq,FOLD freq
Ks 5h 4h,Tc,7.11066,61.32,509.117,138.386,38.68,89.3829,77.0195,50.64,49.36
Ks 5h 4h,Jc,7.28061,62.56,513.628,136.84,37.44,84.8717,75.5593,50.64,49.36
Ks 5h 4h,Qc,7.21607,60.95,512.382,140.119,39.05,86.1185,73.5039,46.76,53.24
Ks 5h 4h,Kc,2.67659,50.62,443.425,146.008,49.38,155.075,104.674,51.71,48.29
Ks 5h 4h,Ac,10.2582,65.17,538.066,137.615,34.83,60.4345,57.83,44.48,55.52
Ks 5h 4h,2d,6.0127,62.99,535.412,141.673,37.01,63.0882,56.8159,47.69,52.31
Ks 5h 4h,3d,4.86678,65.58,539.132,137.017,34.42,59.368,57.4931,51.33,48.67
Ks 5h 4h,4d,6.72945,61.48,523.077,141.791,38.52,75.423,65.2752,46.49,53.51
Ks 5h 4h,5d,4.65951,60.12,512.661,142.124,39.88,85.8393,71.7458,46.21,53.79
Ks 5h 4h,6d,4.2619,62.71,523.659,139.182,37.29,74.8411,66.894,49.64,50.36
Ks 5h 4h,7d,3.23558,61.81,521.007,140.485,38.19,77.4934,67.6392,47.44,52.56
Ks 5h 4h,8d,4.98337,62.38,518.953,138.648,37.62,79.5475,70.4879,47.58,52.42
Ks 5h 4h,9d,6.04257,60.55,505.452,139.138,39.45,93.0485,78.6128,48.47,51.53
Ks 5h 4h,Td,7.11066,61.32,509.117,138.386,38.68,89.3829,77.0195,50.64,49.36
Ks 5h 4h,Jd,7.28061,62.56,513.628,136.84,37.44,84.8717,75.5593,50.64,49.36
Ks 5h 4h,Qd,7.21607,60.95,512.382,140.119,39.05,86.1185,73.5039,46.76,53.24
Ks 5h 4h,Kd,2.67659,50.62,443.425,146.008,49.38,155.075,104.674,51.71,48.29
Ks 5h 4h,Ad,10.2582,65.17,538.066,137.615,34.83,60.4345,57.83,44.48,55.52
Ks 5h 4h,2h,2.80284,59.94,504.437,140.258,40.06,94.0629,78.2716,46.99,53.01
Ks 5h 4h,3h,1.75744,62.58,510.88,136.054,37.42,87.6204,78.057,48.68,51.32
Ks 5h 4h,6h,2.12879,61.16,498.133,135.747,38.84,100.367,86.136,48.43,51.57
Ks 5h 4h,7h,2.16117,60.72,500.807,137.468,39.28,97.693,82.899,47.57,52.43
Ks 5h 4h,8h,3.03645,60.84,506.911,138.86,39.16,91.5888,77.9656,46.75,53.25
Ks 5h 4h,9h,3.71746,60.39,501.134,138.315,39.61,97.3655,81.9279,45.48,54.52
Ks 5h 4h,Th,4.65782,58.64,486.412,138.246,41.36,112.088,90.3375,49.01,50.99
Ks 5h 4h,Jh,4.17184,58.10,490.217,140.631,41.90,108.283,86.1385,48.59,51.41
Ks 5h 4h,Qh,3.74716,56.97,478.396,139.957,43.03,120.104,93.0376,47.10,52.90
Ks 5h 4h,Kh,1.10338,59.89,512.197,142.529,40.11,86.3031,71.729,46.87,53.13
Ks 5h 4h,Ah,10.8303,60.89,496.371,135.865,39.11,102.129,87.0443,46.30,53.70
Ks 5h 4h,2s,8.45284,60.40,513.266,141.626,39.60,85.2336,71.7487,56.06,43.94
Ks 5h 4h,3s,7.4647,60.74,516.205,141.636,39.26,82.2951,69.8771,59.01,40.99
Ks 5h 4h,4s,10.3757,61.30,513.802,139.703,38.70,84.6978,72.9468,49.51,50.49
Ks 5h 4h,5s,7.92102,59.30,501.806,141.027,40.70,96.6941,79.1996,51.99,48.01
