Aggregation analysis,PioViewer 3.3.16, EV in chips
File, C:\Users\bkush\DPS\Pious\src\pious\pio\resources\database\Ts7h4d.cfr
Action Line,Root CHECK CHECK As CHECK BET 300
Flop,Turn,Global %,OOP Equity,OOP EV,OOP EQR,IP Equity,IP EV,IP EQR,CALL freq,FOLD freq
Ks 5h 4h,Qh,4.05749,31.67,76.3093,80.3129,68.33,522.191,127.373,31.87,68.13
Ks 5h 4h,Kh,0.58222,34.58,82.8938,79.9136,65.42,515.606,131.351,31.31,68.69
Ks 5h 4h,Ah,1.27503,28.54,58.7045,68.5637,71.46,539.795,125.897,20.79,79.21
Ks 5h 4h,2s,7.02778,31.72,71.6674,75.3209,68.28,526.833,128.589,32.09,67.91
Ks 5h 4h,3s,8.97868,32.87,77.1925,78.2865,67.13,521.308,129.423,33.31,66.69
Ks 5h 4h,4s,1.45579,30.81,75.091,81.2287,69.19,523.409,126.089,28.54,71.46
Ks 5h 4h,5s,3.22386,32.58,75.869,77.6216,67.42,522.631,129.199,31.34,68.66
Ks 5h 4h,6s,6.42875,34.84,85.8968,82.1908,65.16,512.603,131.107,33.72,66.28
Ks 5h 4h,7s,5.52631,34.44,83.4273,80.7471,65.56,515.073,130.941,33.71,66.29
Ks 5h 4h,8s,4.44327,31.90,75.8327,79.2392,68.10,522.667,127.917,32.90,67.10
Ks 5h 4h,9s,5.48417,32.34,73.7297,76.0054,67.66,524.77,129.258,35.82,64.18
Ks 5h 4h,Ts,7.0894,31.16,66.2017,70.8136,68.84,532.298,128.878,34.76,65.24
Ks 5h 4h,Js,7.23309,31.05,61.6065,66.1308,68.95,536.893,129.784,35.46,64.54
Ks 5h 4h,Qs,6.25372,29.58,55.1936,62.1926,70.42,543.306,128.591,29.75,70.25
Ks 5h 4h,As,2.6342,31.07,77.7367,83.4119,68.93,520.763,125.908,24.29,75.71
Ks 9h 7s,,1.58508,32.58,89.5402,91.6046,67.42,508.96,125.822,30.32,69.68
Ks 9h 7s,2c,0.41798,29.21,86.1034,98.2563,70.79,512.397,120.638,30.04,69.96
Ks 9h 7s,3c,0.90267,35.21,105.473,99.8428,64.79,493.027,126.833,30.58,69.42
Ks 9h 7s,4c,1.31615,37.63,119.465,105.838,62.37,479.035,127.999,37.08,62.92
Ks 9h 7s,5c,1.35991,34.98,99.997,95.2789,65.02,498.503,127.79,32.91,67.09
Ks 9h 7s,6c,1.85897,33.62,84.5279,83.8168,66.38,513.972,129.04,31.32,68.68
Ks 9h 7s,7c,0.00702,40.28,128.237,106.133,59.72,470.263,131.231,33.52,66.48
Ks 9h 7s,8c,1.51037,28.75,63.7647,73.9353,71.25,534.735,125.081,27.26,72.74
Ks 9h 7s,9c,0.7361,35.82,111.594,103.841,64.18,486.906,126.447,32.10,67.90
Ks 9h 7s,Tc,3.19281,27.94,69.2178,82.5915,72.06,529.282,122.41,26.30,73.70
Ks 9h 7s,Jc,1.81211,31.33,76.044,80.8999,68.67,522.456,126.808,30.29,69.71
