Aggregation analysis,PioViewer 3.3.16, EV in chips
File, C:\Users\bkush\DPS\Pious\src\pious\pio\resources\database\Ts7h4d.cfr
Action Line,Root CHECK CHECK As CHECK
Flop,Turn,Global %,OOP Equity,OOP EV,OOP EQR,IP Equity,IP EV,IP EQR,BET 300 freq,CHECK freq
Ks 9h 7s,5c,11.7698,42.97,125.088,97.0388,57.03,173.412,101.354,11.55,88.45
Ks 9h 7s,6c,11.493,40.06,106.129,88.2974,59.94,192.371,106.989,16.17,83.83
Ks 9h 7s,7c,12.0488,41.08,129.48,105.065,58.92,169.02,95.6201,0.06,99.94
Ks 9h 7s,8c,9.4183,34.89,88.9269,84.9649,65.11,209.573,107.288,16.04,83.96
Ks 9h 7s,9c,13.4801,41.02,124.96,101.537,58.98,173.541,98.0833,5.46,94.54
Ks 9h 7s,Tc,11.0767,33.73,89.9184,88.871,66.27,208.582,104.909,28.82,71.18
Ks 9h 7s,Jc,10.8187,36.63,95.6243,87.0093,63.37,202.876,106.721,16.75,83.25
Ks 9h 7s,Qc,11.3197,33.15,93.4045,93.9225,66.85,205.096,102.266,6.66,93.34
Ks 9h 7s,Kc,12.99,37.81,109.859,96.8458,62.19,188.641,101.114,9.07,90.93
Ks 9h 7s,Ac,9.64611,36.37,105.729,96.9093,63.63,192.772,100.981,9.83,90.17
Ks 9h 7s,2d,13.238,40.05,117.558,97.833,59.95,180.942,100.614,3.16,96.84
Ks 9h 7s,3d,13.8274,41.41,125.229,100.795,58.59,173.271,98.5849,6.53,93.47
Ks 9h 7s,4d,14.806,46.02,142.876,103.48,53.98,155.624,96.1063,8.89,91.11
Ks 9h 7s,5d,11.7698,42.97,125.088,97.0388,57.03,173.412,101.354,11.55,88.45
Ks 9h 7s,6d,11.493,40.06,106.129,88.2974,59.94,192.371,106.989,16.17,83.83
Ks 9h 7s,7d,12.0488,41.08,129.48,105.065,58.92,169.02,95.6201,0.06,99.94
Ks 9h 7s,8d,9.4183,34.89,88.9269,84.9649,65.11,209.573,107.288,16.04,83.96
Ks 9h 7s,9d,13.4801,41.02,124.96,101.537,58.98,173.541,98.0833,5.46,94.54
Ks 9h 7s,Td,11.0767,33.73,89.9184,88.8711,66.27,208.582,104.909,28.82,71.18
Ks 9h 7s,Jd,10.8187,36.63,95.6243,87.0093,63.37,202.876,106.721,16.75,83.25
Ks 9h 7s,Qd,11.3197,33.15,93.4045,93.9225,66.85,205.096,102.266,6.66,93.34
Ks 9h 7s,Kd,12.99,37.81,109.859,96.8458,62.19,188.641,101.114,9.07,90.93
Ks 9h 7s,Ad,9.64611,36.37,105.729,96.9093,63.63,192.772,100.981,9.83,90.17
Ks 9h 7s,2h,12.3623,39.34,113.224,95.9409,60.66,185.276,101.808,18.53,81.47
Ks 9h 7s,3h,12.2867,39.57,114.057,96.0743,60.43,184.443,101.743,22.27,77.73
Ks 9h 7s,4h,12.4138,43.99,128.268,97.1919,56.01,170.232,101.313,26.39,73.61
Ks 9h 7s,5h,10.8761,41.51,118.293,94.9932,58.49,180.207,102.698,22.27,77.73
Ks 9h 7s,6h,11.4141,39.61,105.764,88.9974,60.39,192.736,106.39,27.93,72.07
Ks 9h 7s,7h,11.124,39.72,125.491,105.314,60.28,173.009,95.669,5.55,94.45
Ks 9h 7s,8h,8.539,33.17,86.3691,86.7935,66.83,212.131,105.807,23.99,76.01
Ks 9h 7s,Th,11.1684,34.82,95.7031,91.6297,65.18,202.797,103.704,31.95,68.05
Ks 9h 7s,Jh,10.5934,37.10,98.6232,88.6042,62.90,199.877,105.927,23.48,76.52
Ks 9h 7s,Qh,11.1762,33.45,95.2179,94.8727,66.55,203.282,101.826,17.41,82.59
Ks 9h 7s,Kh,11.7488,37.25,108.406,97.0005,62.75,190.094,100.984,25.50,74.50
Ks 9h 7s,Ah,8.88698,35.82,104.373,97.121,64.18,194.127,100.828,18.60,81.40
Ks 9h 7s,2s,13.7756,36.14,98.2637,90.6401,63.86,200.236,104.513,4.44,95.56
Ks 9h 7s,3s,14.0271,36.92,101.963,92.0507,63.08,196.537,103.861,6.84,93.16
Ks 9h 7s,4s,13.6797,39.81,110.842,92.8176,60.19,187.658,103.919,8.12,91.88
Ks 9h 7s,5s,13.0525,39.96,107.854,89.9705,60.04,190.646,105.842,12.08,87.92
Ks 9h 7s,6s,12.4346,37.72,95.7102,84.5787,62.28,202.79,108.537,12.75,87.25
Ks 9h 7s,8s,9.32776,32.13,80.7659,83.7991,67.87,217.734,106.932,15.68,84.32
Ks 9h 7s,9s,14.003,37.60,111.427,98.7897,62.40,187.073,99.928,11.49,88.51
Ks 9h 7s,Ts,11.3303,33.11,91.5355,92.1397,66.89,206.965,103.144,20.66,79.34
Ks 9h 7s,Js,12.38,37.80,100.151,88.3058,62.20,198.349,106.304,20.70,79.30
Ks 9h 7s,Qs,12.112,32.80,88.7569,90.2048,67.20,209.743,104.037,12.87,87.13
Ks 9h 7s,As,9.77267,34.43,97.0747,93.9917,65.57,201.425,102.392,10.98,89.02
